中央台,#genre#
浙江缙云新闻综合频道,http://l.cztvcloud.com/channels/lantian/SXjinyun1/720p.m3u8
浙江经济生活,http://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江经济生活,http://ls.qingting.fm/live/1099.m3u8
浙江开化国家公园,http://l.cztvcloud.com/channels/lantian/SXkaihua2/720p.m3u8
浙江开化新闻,http://l.cztvcloud.com/channels/lantian/SXkaihua1/720p.m3u8?zzhed?
浙江兰溪新闻综合频道,http://l.cztvcloud.com/channels/lantian/SXlanxi1/720p.m3u8
浙江丽水青田综合,http://l.cztvcloud.com/channels/lantian/SXqingtian1/720p.m3u8
浙江丽水松阳综合,http://l.cztvcloud.com/channels/lantian/SXsongyang1/720p.m3u8
浙江丽水云和综合,http://l.cztvcloud.com/channels/lantian/SXyunhe1/720p.m3u8
浙江临平新闻综合频道,http://l.cztvcloud.com/channels/lantian/SXyuhang2/720p.m3u8
浙江龙泉新闻综合频道,http://l.cztvcloud.com/channels/lantian/SXlongquan1/720p.m3u8
浙江龙游生活娱乐,http://l.cztvcloud.com/channels/lantian/SXlongyou2/720p.m3u8
浙江龙游新闻综合,http://l.cztvcloud.com/channels/lantian/SXlongyou1/720p.m3u8
浙江民生,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江宁波象山综合,http://l.cztvcloud.com/channels/lantian/SXxiangshan1/720p.m3u8
浙江宁波余姚生活,http://l.cztvcloud.com/channels/lantian/SXyuyao2/720p.m3u8
浙江普陀新闻综合,http://l.cztvcloud.com/channels/lantian/SXputuo1/720p.m3u8
浙江钱江都市频道,http://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
浙江青田电视,http://l.cztvcloud.com/channels/lantian/SXqingtian1/720p.m3u8?zzhed
浙江庆元新闻综合频道,http://l.cztvcloud.com/channels/lantian/SXqingyuan1/720p.m3u8
浙江衢江新闻综合,http://l.cztvcloud.com/channels/lantian/SXqujiang1/720p.m3u8
浙江衢州开化综合,http://l.cztvcloud.com/channels/lantian/SXkaihua1/720p.m3u8
浙江衢州龙游生活,https://l.cztvcloud.com/channels/lantian/SXlongyou2/720p.m3u8
浙江上虞文化影视频道,http://l.cztvcloud.com/channels/lantian/SXshangyu2/720p.m3u8
浙江上虞新商都,http://l.cztvcloud.com/channels/lantian/SXshangyu3/720p.m3u8
浙江上虞新闻综合,http://l.cztvcloud.com/channels/lantian/SXshangyu1/720p.m3u8
浙江少儿,https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江绍兴电视台公共频道,http://live.shaoxing.com.cn/video/s10001-sxtv2/index.m3u8
浙江绍兴公共频道,http://live.shaoxing.com.cn/video/s10001-sxtv2/index.m3u8?zzhed
浙江绍兴文化影视,http://live.shaoxing.com.cn/video/s10001-sxtv3/index.m3u8
浙江绍兴新闻综合频道,http://live.shaoxing.com.cn/video/s10001-sxtv1/index.m3u8
浙江嵊泗新闻综合频道,http://l.cztvcloud.com/channels/lantian/SXshengsi1/720p.m3u8
浙江嵊州新闻综合频道,http://l.cztvcloud.com/channels/lantian/SXshengzhou1/720p.m3u8
浙江数码时代,http://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel01/1080p.m3u8
浙江卫视,http://ali-m-l.cztv.com:80/channels/lantian/channel001/1080p.m3u8
浙江卫视,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
浙江武义新闻综合频道,http://l.cztvcloud.com/channels/lantian/SXwuyi1/720p.m3u8
浙江象山新闻,http://l.cztvcloud.com/channels/lantian/SXxiangshan1/720p.m3u8?zzhed?
浙江萧山生活频道,http://l.cztvcloud.com/channels/lantian/SXxiaoshan2/720p.m3u8
浙江萧山综合频道,http://l.cztvcloud.com/channels/lantian/SXxiaoshan1/720p.m3u8
浙江新昌新闻综合频道,http://l.cztvcloud.com/channels/lantian/SXxinchang1/720p.m3u8
浙江新昌休闲影视,http://l.cztvcloud.com/channels/lantian/SXxinchang2/720p.m3u8
浙江新闻,http://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8?zzhed
浙江休闲台,http://ali-m-l.cztv.com/channels/lantian/channel006/720p.m3u8
浙江永嘉新闻综合频道,http://l.cztvcloud.com/channels/lantian/SXyongjia1/720p.m3u8
浙江余杭未来E,http://l.cztvcloud.com/channels/lantian/SXyuhang3/720p.m3u8?zzhed
浙江余杭未来频道,http://l.cztvcloud.com/channels/lantian/SXyuhang3/720p.m3u8
浙江余姚新闻综合,https://l.cztvcloud.com/channels/lantian/SXyuyao1/720p.m3u8
浙江余姚姚江文化频道,http://l.cztvcloud.com/channels/lantian/SXyuyao3/720p.m3u8
浙江之江纪录,https://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
浙江诸暨新闻综合,http://l.cztvcloud.com/channels/lantian/SXzhuji3/720p.m3u8


江苏东台综合频道,http://dongtai-tv-hls.cm.jstv.com/dongtai-tv/dongtaizonghe.m3u8?zjiangsd
江苏高邮一套新闻综合频道,http://gaoyou-tv-hls.cm.jstv.com/gaoyou-tv/gaoyouxw.m3u8
江苏淮阴综合,https://huaiyin-tv-replay.cm.jstv.com/huaiyin-tv/huaiyinf.m3u8
江苏贾汪旅游频道,https://jiawang-tv-replay.cm.jstv.com/jiawang-tv/jwly.m3u8
江苏贾汪新闻频道,https://jiawang-tv-replay.cm.jstv.com/jiawang-tv/jwxw.m3u8
江苏金湖新闻综合,http://jinhu-tv-hls.cm.jstv.com/jinhu-tv/jinhuzh.m3u8
江苏金坛新闻频道,http://jintan-tv-ori-hls.jstv.com/jintan-tv-ori/jintan_xw.m3u8
江苏靖江新闻综合,http://visit.jjbctv.com:1935/live/xwzhmb/playlist.m3u8
江苏句容新闻综合,http://jrlive.jrntv.com/live/_definst_/jrxwzhs/playlist.m3u8
江苏沛县新闻综合频道,http://peixian-tv-hls.cm.jstv.com/peixian-tv/pxzh.m3u8
江苏泗洪新闻综合频道,http://sihong-tv-hls.cm.jstv.com/sihong-tv/sihongxinwenzonghe.m3u8
江苏泗阳资讯频道,http://siyang-tv-hls.cm.jstv.com/siyang-tv/siyangzx.m3u8
江苏泗阳综合频道,http://siyang-tv-hls.cm.jstv.com/siyang-tv/siyangzh.m3u8
江苏苏州4k,https://live-auth.51kandianshi.com/szgd/csztv4k_hd.m3u8
江苏苏州电影娱乐信息,https://live-auth.51kandianshi.com/szgd/csztv4.m3u8
江苏苏州社会经济,https://live-auth.51kandianshi.com/szgd/csztv2.m3u8
江苏苏州生活资讯,https://live-auth.51kandianshi.com/szgd/csztv5.m3u8
江苏苏州新闻综合,https://live-auth.51kandianshi.com/szgd/csztv1.m3u8
江苏睢宁三农频道,http://suining-tv-hls.cm.jstv.com/suining-tv/suiningsn.m3u8
江苏睢宁综合频道,http://suining-tv-hls.cm.jstv.com/suining-tv/suiningzh.m3u8
江苏无锡生活,http://stream.thmz.com/wxtv4/playlist.m3u8
江苏无锡移动电视,http://m.m3u8.wifiwx.com/live/wifiwx-494.m3u8
江苏武进生活频道,https://live.wjyanghu.com/live/CH2.m3u8?zjiangsd
江苏徐州公共频道,http://stream3.huaihai.tv/xz4t/sd/live.m3u8
江苏徐州经济生活,http://stream3.huaihai.tv/xz2t/sd/live.m3u8
江苏徐州文艺影视,http://stream3.huaihai.tv/xz3t/sd/live.m3u8
江苏徐州新闻综合,http://stream3.huaihai.tv/xwzh1t/sd/live.m3u8
江苏宜兴新闻综合,http://yixing-tv-ori-hls.jstv.com/yixing-tv-ori/yixing_xw.m3u8
江苏镇江句容新闻综合,http://jrlive.jrntv.com/live/_definst_/jrxwzhs/playlist.m3u8?zjiangsd
江苏镇江社会民生,http://zjtv-wshls.homecdn.com/live/2aa16.m3u8
江苏镇江新闻综合,http://zjtv-wshls.homecdn.com/live/2aa50.m3u8

河南 新野综合,http://tvpull.dxhmt.cn:9081/tv/11329-1.m3u8
河南焦作公共,http://zhpull.dxhmt.cn/jiaozuo/29b65b69130c4ef1a3283cc7b913da05/playlist.m3u8
河南开封公共频道,http://tvpull.dxhmt.cn:9081/tv/10200-3.m3u8
河南永城新闻,http://tvpull.dxhmt.cn:9081/tv/11481-1.m3u8

河源公共频道,http://tmpstream.hyrtv.cn/hygg/sd/live.m3u8
河源综合频道,http://tmpstream.hyrtv.cn/xwzh/sd/live.m3u8

黑龙江哈尔滨生活,http://stream.hrbtv.net/shpd/sd/live.m3u8?zheild
黑龙江哈尔滨新闻综合,http://stream.hrbtv.net/xwzh/sd/live.m3u8?zheild
黑龙江哈尔滨影视,http://stream.hrbtv.net/yspd/sd/live.m3u8?zheild

吉林 靖宇综合,http://stream8.jlntv.cn/jytv/sd/live.m3u8
吉林 龙井综合,http://stream8.jlntv.cn/ljtv/sd/live.m3u8
吉林白山公共,http://stream8.jlntv.cn/baishan2/playlist.m3u8
吉林大安新闻综合,http://stream6.jlntv.cn/da/playlist.m3u8
吉林德惠综合,http://stream11.jlntv.cn/dehuitv/playlist.m3u8
吉林德惠综合,http://stream11.jlntv.cn/dehuitv/sd/live.m3u8
吉林东丰综合,http://stream5.jlntv.cn/df/playlist.m3u8
吉林东丰综合,http://stream5.jlntv.cn/df/sd/live.m3u8
吉林东辽综合,http://stream5.jlntv.cn/dl/playlist.m3u8
吉林东辽综合,http://stream5.jlntv.cn/dl/sd/live.m3u8
吉林扶余综合,http://stream6.jlntv.cn/fy/playlist.m3u8
吉林公主岭综合,http://stream5.jlntv.cn/gzl/playlist.m3u8
吉林桦甸综合,http://stream10.jlntv.cn/huadian/playlist.m3u8
吉林珲春综合,http://stream8.jlntv.cn/hctv/sd/live.m3u8
吉林辉南新闻综合,http://stream5.jlntv.cn/hn/sd/live.m3u8
吉林江源综合,http://stream10.jlntv.cn/jiangyuantv/playlist.m3u8
吉林靖宇综合,http://stream8.jlntv.cn/jytv/playlist.m3u8
吉林九台区电视台,http://stream10.jlntv.cn/jiutaitv/playlist.m3u8
吉林梨树新闻,http://stream6.jlntv.cn/ls/playlist.m3u8
吉林临江综合,http://stream8.jlntv.cn/linjiang/playlist.m3u8
吉林柳河综合,http://stream5.jlntv.cn/lh/playlist.m3u8
吉林龙井综合,http://stream8.jlntv.cn/ljtv/playlist.m3u8
吉林磐石综合,http://stream5.jlntv.cn/ps/playlist.m3u8
吉林乾安综合,http://stream6.jlntv.cn/qa/playlist.m3u8
吉林舒兰新闻综合,http://stream8.jlntv.cn/shulan/sd/live.m3u8
吉林双辽综合,http://stream5.jlntv.cn/sl/playlist.m3u8
吉林双阳综合,http://stream11.jlntv.cn/shuangyang/playlist.m3u8
吉林洮南综合,http://stream5.jlntv.cn/tn/playlist.m3u8
吉林通榆综合,http://stream6.jlntv.cn/ty/playlist.m3u8
吉林图们TV1,http://stream6.jlntv.cn/tm/playlist.m3u8
吉林永吉综合频道,http://stream10.jlntv.cn/yongji/sd/live.m3u8
哈尔滨影视频道,http://stream.hrbtv.net/yspd/sd/live.m3u8

内蒙古阿拉善新闻综合,http://play1-qk.nmtv.cn/live/1735547046115053.m3u8
内蒙古巴彦淖尔新闻综合,http://play1-qk.nmtv.cn/live/1735546423467029.m3u8
内蒙古包头新闻综合,http://play1-qk.nmtv.cn/live/1735546150395017.m3u8
内蒙古赤峰新闻综合,http://play1-qk.nmtv.cn/live/1735546697341033.m3u8
内蒙古鄂尔多斯新闻综合,http://play1-qk.nmtv.cn/live/1735546299241021.m3u8
内蒙古呼和浩特新闻综合,http://play1-qk.nmtv.cn/live/1735545967595013.m3u8
内蒙古呼伦贝尔新闻综合,http://play1-qk.nmtv.cn/live/1735546791130040.m3u8
内蒙古满洲里电视台,http://play1-qk.nmtv.cn/live/2336general.m3u8
内蒙古通辽新闻综合,http://play1-qk.nmtv.cn/live/1735546745882037.m3u8
内蒙古乌海新闻综合,http://play1-qk.nmtv.cn/live/1735546358166026.m3u8
内蒙古乌兰察布新闻综合,http://play1-qk.nmtv.cn/live/1735546836103043.m3u8
内蒙古锡林郭勒综合,http://play1-qk.nmtv.cn/live/1735546994821050.m3u8
内蒙古兴安盟新闻综合,http://play1-qk.nmtv.cn/live/1735546886977046.m3u8

山西定襄综合,http://lbyzztfe.live.sxmty.com:80/live/hls/645ff4c60e0a49f0a203abbd73dd8be9/0720e665f10f48e98c9639f4f492fb4a-1.m3u8
山西古县综合,https://l2fpdktp.live.sxmty.com/live/hls/e4c3b363cc4549788e2d983f403e07db/d99ce1eb686e41b9afc888110bd95aa7.m3u8
山西晋城公共,http://live.jinnews.com.cn/ggpd/sd/live.m3u8
山西晋城新闻,http://live.jinnews.com.cn/xwzh/sd/live.m3u8

安徽亳州农村,http://zbbf2.ahbztv.com/live/418.m3u8
安徽亳州新闻,http://zbbf2.ahbztv.com/live/416.m3u8?zanhd

四川广安公共频道,http://live1.gatv.com.cn:85/live/GGPD.m3u8
四川夹江新闻综合,http://tvfile.jjrm.org.cn/nmip-media/channellive/channel106282/playlist.m3u8
四川科教,http://182.150.115.21:8030/pcgacg/pcgacg_0.m3u8
四川乐至综合,http://175.155.106.72:89/live1/live1.m3u8
四川泸州科教频道,http://m3u8.channel.luzhoubs.com/nmip-media/channellive/channel103074/playlist.m3u8
四川泸州新闻综合,http://m3u8.channel.luzhoubs.com/nmip-media/channellive/channel106011/playlist.m3u8
四川南部新闻综合,http://pili-live-rtmp.148.i2863.com/i2863-148/live_148_811389.m3u8
四川旺苍新闻综合,http://channel.wcrmt.cn:80/nmip-media/channellive/channel105268/playlist.m3u8
四川叙州新闻综合,http://pili-live-hls.ybcxjd.com/jdh-live/2108111201035597.m3u8
